X,Y,osm_id,amenity,name,religion,historic,denomination,tourism,shop,highway,brand,ref,public_transport,covered,leisure,addr:housenumber,man_made,operator,fuel:octane_95,fuel:diesel,emergency,crossing,crossing_ref,cuisine,brand:wikipedia,brand:wikidata,takeaway,internet_access,smoking,addr:postcode,addr:city,addr:street,shelter,bench,opening_hours,capacity,mapillary,survey:date,phone,description
-8.7132928,41.3237636,2922074762,,Yongli,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.7132204,41.3237928,2922074763,,Ye Ping,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.7131551,41.3238179,2922074764,,Jani Moda de Paris,,,,,clothes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.7130874,41.3238424,2922074765,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.7129706,41.3238836,2922076942,,Mao Mao,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.712848,41.3239284,2922076943,,Usmart & Zheng,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.707484,41.3221031,3197168436,,SOS 09,,,,,,,,,,,,,,,,,phone,,,,,,,,,,,,,,,,,,,
-8.707062,41.3222119,3197168437,,SOS 09,,,,,,,,,,,,,,,,,phone,,,,,,,,,,,,,,,,,,,
-8.6936636,41.3230277,3157665126,cafe,Abrigo dos Caçadores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6955982,41.3239302,2620285242,,Charlot,,,,,pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loja de animais
-8.6741341,41.3186506,6216622487,,minimercado Gião,,,,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6765235,41.3240801,4437558892,,,,,,viewpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.6739363,41.3249329,5815527554,restaurant,Monte Crasto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.682332,41.3377297,2587265000,,,,,,,,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
